handle,registry to request from,parentHandle
0.0.0.0 - 255.255.255.255,RIPE,
NET-0-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
1.0.0.0 - 1.0.0.255,APNIC,0.0.0.0 - 255.255.255.255
2.0.0.0 - 2.255.255.255,RIPE,0.0.0.0 - 255.255.255.255
NET-3-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-4-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-5-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-6-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-7-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-8-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-9-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-10-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-11-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-12-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-13-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-14-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-15-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-16-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-17-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-18-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-19-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-20-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-21-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-22-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-23-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-24-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-25-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-26-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-27-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-28-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-29-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-30-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-31-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-32-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-33-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-34-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-35-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-36-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-37-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-38-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-39-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-40-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-41-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-42-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-43-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-44-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-45-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-46-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-47-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-48-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-49-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-50-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-51-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-52-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-53-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-54-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-55-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-56-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-57-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-58-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-59-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-60-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-61-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-62-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-63-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-64-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-65-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-66-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-67-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-68-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-69-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-70-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-71-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-72-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-73-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-74-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-75-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-76-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
77.0.0.0 - 95.255.255.255,RIPE,0.0.0.0 - 255.255.255.255
NET-96-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-97-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-98-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-99-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-100-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
101.0.0.0 - 101.255.255.255,APNIC,0.0.0.0 - 255.255.255.255
NET-102-0-0-0-1,ARIN,0.0.0.0 - 255.255.255.255
NET-107-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
NET-108-0-0-0-0,ARIN,0.0.0.0 - 255.255.255.255
109.0.0.0 - 109.255.255.255,RIPE,0.0.0.0 - 255.255.255.255
110.0.0.0 - 110.255.255.255,APNIC,0.0.0.0 - 255.255.255.255
111.0.0.0 - 111.255.255.255,APNIC,0.0.0.0 - 255.255.255.255
112.0.0.0 - 112.255.255.255,APNIC,0.0.0.0 - 255.255.255.255
113.0.0.0 - 113.255.255.255,APNIC,0.0.0.0 - 255.255.255.255
114.0.0.0 - 115.255.255.255,APNIC,0.0.0.0 - 255.255.255.255
