NetName,NetHandle,start address,end address,Registry,Date,Registry - Purpose,Notes or Reference
RESERVED-1,NET-0-0-0-0-1,0.0.0.0,0.255.255.255,IANA,Sep-81,IANA - Reserved,
RESERVED-9,NET-1-0-0-0-1,1.0.0.0,1.255.255.255,IANA,Sep-81,IANA - Reserved,
RESERVED-2,NET-2-0-0-0-1,2.0.0.0,2.255.255.255,IANA,Sep-81,IANA - Reserved,
GE-INTERNET,NET-3-0-0-0-1,3.0.0.0,3.255.255.255,ARIN,May-94,General Electric Company,
LVLT-ORG-4-8,NET-4-0-0-0-1,4.0.0.0,4.255.255.255,ARIN,Dec-92,Bolt Beranek and Newman Inc.,
RESERVED-5,NET-5-0-0-0-1,5.0.0.0,5.255.255.255,ARIN,Jul-95,IANA - Reserved,
YUMA-NET,NET-6-0-0-0-1,6.0.0.0,6.255.255.255,ARIN,Feb-94,Army Information Systems Center,
DISANET7,NET-7-0-0-0-1,7.0.0.0,7.255.255.255,ARIN,Apr-95,IANA - Reserved,
LVLT-ORG-8-8,NET-8-0-0-0-1,8.0.0.0,8.255.255.255,ARIN,Dec-92,Bolt Beranek and Newman Inc.,
IBM,NET-9-0-0-0-1,9.0.0.0,9.255.255.255,ARIN,Aug-92,IBM,
RESERVED-10,NET-10-0-0-0-1,10.0.0.0,10.255.255.255,ARIN,Jun-95,IANA - Private Use,See [RFC1918]
DODIIS,NET-11-0-0-0-1,11.0.0.0,11.255.255.255,ARIN,May-93,DoD Intel Information Systems,
ATT,NET-12-0-0-0-1,12.0.0.0,12.255.255.255,ARIN,Jun-95,AT&T Bell Laboratories,
XEROX-NET,NET-13-0-0-0-1,13.0.0.0,13.255.255.255,ARIN,Sep-91,Xerox Corporation,
PDN,NET-14-0-0-0-1,14.0.0.0,14.255.255.255,ARIN,Jun-91,IANA - Public Data Network,
HP-INTERNET,NET-15-0-0-0-1,15.0.0.0,15.255.255.255,ARIN,Jul-94,Hewlett-Packard Company,
HP-16,NET-16-0-0-0-1,16.0.0.0,16.255.255.255,ARIN,Nov-94,Digital Equipment Corporation,
APPLE-WWNET,NET-17-0-0-0-1,17.0.0.0,17.255.255.255,ARIN,Jul-92,Apple Computer Inc.,
MIT,NET-18-0-0-0-1,18.0.0.0,18.255.255.255,ARIN,Jan-94,MIT,
FINET,NET-19-0-0-0-1,19.0.0.0,19.255.255.255,ARIN,May-95,Ford Motor Company,
CSC,NET-20-0-0-0-1,20.0.0.0,20.255.255.255,ARIN,Oct-94,Computer Sciences Corporation,
DDN-RVN,NET-21-0-0-0-1,21.0.0.0,21.255.255.255,ARIN,Jul-91,DDN-RVN,
DISNET,NET-22-0-0-0-1,22.0.0.0,22.255.255.255,ARIN,May-93,Defense Information Systems Agency,
RESERVED-23,NET-23-0-0-0-1,23.0.0.0,23.255.255.255,ARIN,Jul-95,IANA - Reserved,
NET24,NET-24-0-0-0-0,24.0.0.0,24.255.255.255,ARIN,May-01,ARIN - Cable Block,(Formerly IANA - Jul 95)
RSRE-EXP,NET-25-0-0-0-1,25.0.0.0,25.255.255.255,ARIN,Jan-95,Royal Signals and Radar Establishment,
MILNET,NET-26-0-0-0-1,26.0.0.0,26.255.255.255,ARIN,May-95,Defense Information Systems Agency,
RESERVED-27,NET-27-0-0-0-1,27.0.0.0,27.255.255.255,ARIN,Apr-95,IANA - Reserved,
DSI-NORTH2,NET-28-0-0-0-1,28.0.0.0,28.255.255.255,ARIN,Jul-92,DSI-North,
MILX25-TEMP,NET-29-0-0-0-1,29.0.0.0,29.255.255.255,ARIN,Jul-91,Defense Information Systems Agency,
ARPAX25-TEMP,NET-30-0-0-0-1,30.0.0.0,30.255.255.255,ARIN,Jul-91,Defense Information Systems Agency,
RESERVED-31,NET-31-0-0-0-1,31.0.0.0,31.255.255.255,ARIN,Apr-99,IANA - Reserved,
ATT-32-0-0-0-A,NET-32-0-0-0-1,32.0.0.0,32.255.255.255,ARIN,Jun-94,Norsk Informasjonsteknology,
DCMC-1,NET-33-0-0-0-1,33.0.0.0,33.255.255.255,ARIN,Jan-91,DLA Systems Automation Center,
HALLIBURTON,NET-34-0-0-0-1,34.0.0.0,34.255.255.255,ARIN,Mar-93,Halliburton Company,
MICH-1,NET-35-0-0-0-1,35.0.0.0,35.255.255.255,ARIN,Apr-94,MERIT Computer Network,
RESERVED-36,NET-36-0-0-0-1,36.0.0.0,36.255.255.255,ARIN,Jul-00,IANA - Reserved,(Formerly Stanford University - Apr 93)
RESERVED-37,NET-37-0-0-0-1,37.0.0.0,37.255.255.255,ARIN,Apr-95,IANA - Reserved,
PSINETA,NET-38-0-0-0-1,38.0.0.0,38.255.255.255,ARIN,Sep-94,Performance Systems International,
RESERVED-39A,NET-39-0-0-0-1,39.0.0.0,39.255.255.255,ARIN,Apr-95,IANA - Reserved,
LILLY-NET,NET-40-0-0-0-1,40.0.0.0,40.255.255.255,ARIN,Jun-94,Eli Lily and Company,
NET41,NET-41-0-0-0-1,41.0.0.0,41.255.255.255,AFRINIC,Apr-05,AfriNIC,(whois.afrinic.net)
RESERVED-42,NET-42-0-0-0-1,42.0.0.0,42.255.255.255,ARIN,Jul-95,IANA - Reserved,
JAPAN-A,NET-43-0-0-0-1,43.0.0.0,43.255.255.255,ARIN,Jan-91,Japan Inet,
AMPRNET,NET-44-0-0-0-1,44.0.0.0,44.255.255.255,ARIN,Jul-92,Amateur Radio Digital Communications,
SHOWNETA,NET-45-0-0-0-1,45.0.0.0,45.255.255.255,ARIN,Jan-95,Interop Show Network,
RESERVED-46,NET-46-0-0-0-0,46.0.0.0,46.255.255.255,ARIN,Dec-92,Bolt Beranek and Newman Inc.,
BNR,NET-47-0-0-0-1,47.0.0.0,47.255.255.255,ARIN,Jan-91,Bell-Northern Research,
PRUBACHE,NET-48-0-0-0-1,48.0.0.0,48.255.255.255,ARIN,May-95,Prudential Securities Inc.,
RESERVED-49,NET-49-0-0-0-0,49.0.0.0,49.255.255.255,ARIN,May-94,Joint Technical Command,(Returned to IANA  Mar 98)
RESERVED-50,NET-50-0-0-0-0,50.0.0.0,50.255.255.255,ARIN,May-94,Joint Technical Command,(Returned to IANA  Mar 98)
ITSANET,NET-51-0-0-0-1,51.0.0.0,51.255.255.255,ARIN,Aug-94,Deparment of Social Security of UK,
DUPONT1,NET-52-0-0-0-1,52.0.0.0,52.255.255.255,ARIN,Dec-91,"E.I. duPont de Nemours and Co., Inc.",
DB-NET2,NET-53-0-0-0-1,53.0.0.0,53.255.255.255,ARIN,Oct-93,Cap Debis CCS,
MERCK2,NET-54-0-0-0-1,54.0.0.0,54.255.255.255,ARIN,Mar-92,"Merck and Co., Inc.",
RCAS,NET-55-0-0-0-1,55.0.0.0,55.255.255.255,ARIN,Apr-95,Boeing Computer Services,
USPS1,NET-56-0-0-0-1,56.0.0.0,56.255.255.255,ARIN,Jun-94,U.S. Postal Service,
SITA-A,NET-57-0-0-0-1,57.0.0.0,57.255.255.255,ARIN,May-95,SITA,
APNIC-58,NET-58-0-0-0-1,58.0.0.0,58.255.255.255,APNIC,Apr-04,APNIC,(whois.apnic.net)
APNIC-59,NET-59-0-0-0-1,59.0.0.0,59.255.255.255,APNIC,Apr-04,APNIC,(whois.apnic.net)
APNIC-60,NET-60-0-0-0-1,60.0.0.0,60.255.255.255,APNIC,Apr-03,APNIC,(whois.apnic.net)
APNIC3,NET-61-0-0-0-1,61.0.0.0,61.255.255.255,APNIC,Apr-97,APNIC,(whois.apnic.net)
RIPE-C3,NET-62-0-0-0-1,62.0.0.0,62.255.255.255,RIPE,Apr-97,RIPE NCC,(whois.ripe.net)
NET63,NET-63-0-0-0-0,63.0.0.0,63.255.255.255,ARIN,Apr-97,ARIN,(whois.arin.net)
NET64,NET-64-0-0-0-0,64.0.0.0,64.255.255.255,ARIN,Jul-99,ARIN,(whois.arin.net)
NET65,NET-65-0-0-0-0,65.0.0.0,65.255.255.255,ARIN,Jul-00,ARIN,(whois.arin.net)
NET66,NET-66-0-0-0-0,66.0.0.0,66.255.255.255,ARIN,Jul-00,ARIN,(whois.arin.net)
NET67,NET-67-0-0-0-0,67.0.0.0,67.255.255.255,ARIN,May-01,ARIN,(whois.arin.net)
NET68,NET-68-0-0-0-0,68.0.0.0,68.255.255.255,ARIN,Jun-01,ARIN,(whois.arin.net)
NET69,NET-69-0-0-0-0,69.0.0.0,69.255.255.255,ARIN,Aug-02,ARIN,(whois.arin.net)
NET70,NET-70-0-0-0-0,70.0.0.0,70.255.255.255,ARIN,Jan-04,ARIN,(whois.arin.net)
NET71,NET-71-0-0-0-0,71.0.0.0,71.255.255.255,ARIN,Aug-04,ARIN,(whois.arin.net)
NET72,NET-72-0-0-0-0,72.0.0.0,72.255.255.255,ARIN,Aug-04,ARIN,(whois.arin.net)
CABLE-1,NET-73-0-0-0-1,73.0.0.0,73.255.255.255,ARIN,Jan-07,ARIN,(whois.arin.net)
NET74,NET-74-0-0-0-0,74.0.0.0,74.255.255.255,ARIN,Jun-05,ARIN,(whois.arin.net)
NET75,NET-75-0-0-0-0,75.0.0.0,75.255.255.255,ARIN,Jun-05,ARIN,(whois.arin.net)
NET76,NET-76-0-0-0-0,76.0.0.0,76.255.255.255,ARIN,Jun-05,ARIN,(whois.arin.net)
RESERVED-7,NET-77-0-0-0-1,77.0.0.0,79.255.255.255,ARIN,Sep-81,IANA - Reserved,
80-RIPE,NET-80-0-0-0-1,80.0.0.0,80.255.255.255,RIPE,Apr-01,RIPE NCC,(whois.ripe.net)
81-RIPE,NET-81-0-0-0-1,81.0.0.0,81.255.255.255,RIPE,Apr-01,RIPE NCC,(whois.ripe.net)
82-RIPE,NET-82-0-0-0-1,82.0.0.0,82.255.255.255,RIPE,Nov-02,RIPE NCC,(whois.ripe.net)
83-RIPE,NET-83-0-0-0-1,83.0.0.0,83.255.255.255,RIPE,Nov-03,RIPE NCC,(whois.ripe.net)
84-RIPE,NET-84-0-0-0-1,84.0.0.0,84.255.255.255,RIPE,Nov-03,RIPE NCC,(whois.ripe.net)
85-RIPE,NET-85-0-0-0-1,85.0.0.0,85.255.255.255,RIPE,Apr-04,RIPE NCC,(whois.ripe.net)
86-RIPE,NET-86-0-0-0-1,86.0.0.0,86.255.255.255,RIPE,Apr-04,RIPE NCC,(whois.ripe.net)
87-RIPE,NET-87-0-0-0-1,87.0.0.0,87.255.255.255,RIPE,Apr-04,RIPE NCC,(whois.ripe.net)
88-RIPE,NET-88-0-0-0-1,88.0.0.0,88.255.255.255,RIPE,Apr-04,RIPE NCC,(whois.ripe.net)
89-RIPE,NET-89-0-0-0-1,89.0.0.0,89.255.255.255,RIPE,Jun-05,RIPE NCC,(whois.ripe.net)
90-RIPE,NET-90-0-0-0-1,90.0.0.0,90.255.255.255,RIPE,Jun-05,RIPE NCC,(whois.ripe.net)
91-RIPE,NET-91-0-0-0-1,91.0.0.0,91.255.255.255,RIPE,Jun-05,RIPE NCC,(whois.ripe.net)
RESERVED-11,NET-92-0-0-0-1,92.0.0.0,95.255.255.255,ARIN,Sep-81,IANA - Reserved,
RESERVED-8,NET-100-0-0-0-1,100.0.0.0,120.255.255.255,ARIN,Sep-81,IANA - Reserved,
APNIC-121,NET-121-0-0-0-1,121.0.0.0,121.255.255.255,APNIC,,,
APNIC-122,NET-122-0-0-0-1,122.0.0.0,122.255.255.255,APNIC,,,
APNIC-123,NET-123-0-0-0-1,123.0.0.0,123.255.255.255,APNIC,,,
APNIC-124,NET-124-0-0-0-1,124.0.0.0,124.255.255.255,APNIC,Jan-05,APNIC,(whois.apnic.net)
APNIC-125,NET-125-0-0-0-1,125.0.0.0,125.255.255.255,APNIC,Jan-05,APNIC,(whois.apnic.net)
APNIC-126,NET-126-0-0-0-1,126.0.0.0,126.255.255.255,APNIC,Jan-05,APNIC,(whois.apnic.net)
LOOPBACK,NET-127-0-0-0-1,127.0.0.0,127.255.255.255,ARIN,Sep-81,IANA - Reserved,See [RFC3330]
NET128,NET-128-0-0-0-0,128.0.0.0,128.255.255.255,ARIN,May-93,Various Registries,
NET129,NET-129-0-0-0-0,129.0.0.0,129.255.255.255,ARIN,May-93,Various Registries,
NET130,NET-130-0-0-0-0,130.0.0.0,130.255.255.255,ARIN,May-93,Various Registries,
NET131,NET-131-0-0-0-0,131.0.0.0,131.255.255.255,ARIN,May-93,Various Registries,
NET132,NET-132-0-0-0-0,132.0.0.0,132.255.255.255,ARIN,May-93,Various Registries,
JAPAN-INET,NET-133-0-0-0-1,133.0.0.0,133.255.255.255,ARIN,May-93,Various Registries,
NET134,NET-134-0-0-0-0,134.0.0.0,134.255.255.255,ARIN,May-93,Various Registries,
NET135,NET-135-0-0-0-0,135.0.0.0,135.255.255.255,ARIN,May-93,Various Registries,
NET136,NET-136-0-0-0-0,136.0.0.0,136.255.255.255,ARIN,May-93,Various Registries,
NET137,NET-137-0-0-0-0,137.0.0.0,137.255.255.255,ARIN,May-93,Various Registries,
NET138,NET-138-0-0-0-0,138.0.0.0,138.255.255.255,ARIN,May-93,Various Registries,
NET139,NET-139-0-0-0-0,139.0.0.0,139.255.255.255,ARIN,May-93,Various Registries,
NET140,NET-140-0-0-0-0,140.0.0.0,140.255.255.255,ARIN,May-93,Various Registries
RIPE-ERX-141,NET-141-0-0-0-0,141.0.0.0,141.255.255.255,ARIN,May-93,Various Registries
NET142,NET-142-0-0-0-0,142.0.0.0,142.255.255.255,ARIN,May-93,Various Registries
NET143,NET-143-0-0-0-0,143.0.0.0,143.255.255.255,ARIN,May-93,Various Registries
NET144,NET-144-0-0-0-0,144.0.0.0,144.255.255.255,ARIN,May-93,Various Registries
NET145,NET-145-0-0-0-0,145.0.0.0,145.255.255.255,ARIN,May-93,Various Registries
NET146,NET-146-0-0-0-0,146.0.0.0,146.255.255.255,ARIN,May-93,Various Registries
NET147,NET-147-0-0-0-0,147.0.0.0,147.255.255.255,ARIN,May-93,Various Registries
NET148,NET-148-0-0-0-0,148.0.0.0,148.255.255.255,ARIN,May-93,Various Registries
NET149,NET-149-0-0-0-0,149.0.0.0,149.255.255.255,ARIN,May-93,Various Registries
APNIC-ERX-150,NET-150-0-0-0-0,150.0.0.0,150.255.255.255,ARIN,May-93,Various Registries
RIPE-ERX-151,NET-151-0-0-0-0,151.0.0.0,151.255.255.255,ARIN,May-93,Various Registries
NET152,NET-152-0-0-0-0,152.0.0.0,152.255.255.255,ARIN,May-93,Various Registries
NET153,NET-153-0-0-0-0,153.0.0.0,153.255.255.255,ARIN,May-93,Various Registries
NET154,NET-154-0-0-0-0,154.0.0.0,154.255.255.255,ARIN,May-93,Various Registries
NET155,NET-155-0-0-0-0,155.0.0.0,155.255.255.255,ARIN,May-93,Various Registries
NET156,NET-156-0-0-0-0,156.0.0.0,156.255.255.255,ARIN,May-93,Various Registries
NET157,NET-157-0-0-0-0,157.0.0.0,157.255.255.255,ARIN,May-93,Various Registries
NET158,NET-158-0-0-0-0,158.0.0.0,158.255.255.255,ARIN,May-93,Various Registries
NET159,NET-159-0-0-0-0,159.0.0.0,159.255.255.255,ARIN,May-93,Various Registries
NET160,NET-160-0-0-0-0,160.0.0.0,160.255.255.255,ARIN,May-93,Various Registries
NET161,NET-161-0-0-0-0,161.0.0.0,161.255.255.255,ARIN,May-93,Various Registries
NET162,NET-162-0-0-0-0,162.0.0.0,162.255.255.255,ARIN,May-93,Various Registries
APNIC-ERX-163,NET-163-0-0-0-0,163.0.0.0,163.255.255.255,ARIN,May-93,Various Registries
NET164,NET-164-0-0-0-0,164.0.0.0,164.255.255.255,ARIN,May-93,Various Registries
NET165,NET-165-0-0-0-0,165.0.0.0,165.255.255.255,ARIN,May-93,Various Registries
NET166,NET-166-0-0-0-0,166.0.0.0,166.255.255.255,ARIN,May-93,Various Registries
NET167,NET-167-0-0-0-0,167.0.0.0,167.255.255.255,ARIN,May-93,Various Registries
NET168,NET-168-0-0-0-0,168.0.0.0,168.255.255.255,ARIN,May-93,Various Registries
NET169,NET-169-0-0-0-0,169.0.0.0,169.255.255.255,ARIN,May-93,Various Registries
NET170,NET-170-0-0-0-0,170.0.0.0,170.255.255.255,ARIN,May-93,Various Registries
NET171,NET-171-0-0-0-0,171.0.0.0,171.255.255.255,ARIN,May-93,Various Registries
NET172,NET-172-0-0-0-0,172.0.0.0,172.255.255.255,ARIN,May-93,Various Registries
NET173,NET-173-0-0-0-0,173.0.0.0,173.255.255.255,ARIN,Apr-03,IANA - Reserved
NET174,NET-174-0-0-0-0,174.0.0.0,174.255.255.255,ARIN,Apr-03,IANA - Reserved
NET175,NET-175-0-0-0-0,175.0.0.0,175.255.255.255,ARIN,Apr-03,IANA - Reserved
NET176,NET-176-0-0-0-0,176.0.0.0,176.255.255.255,ARIN,Apr-03,IANA - Reserved
NET177,NET-177-0-0-0-0,177.0.0.0,177.255.255.255,ARIN,Apr-03,IANA - Reserved
NET178,NET-178-0-0-0-0,178.0.0.0,178.255.255.255,ARIN,Apr-03,IANA - Reserved
NET179,NET-179-0-0-0-0,179.0.0.0,179.255.255.255,ARIN,Apr-03,IANA - Reserved
NET180,NET-180-0-0-0-0,180.0.0.0,180.255.255.255,ARIN,Apr-03,IANA - Reserved
NET181,NET-181-0-0-0-0,181.0.0.0,181.255.255.255,ARIN,Apr-03,IANA - Reserved
NET182,NET-182-0-0-0-0,182.0.0.0,182.255.255.255,ARIN,Apr-03,IANA - Reserved
NET183,NET-183-0-0-0-0,183.0.0.0,183.255.255.255,ARIN,Apr-03,IANA - Reserved
NET184,NET-184-0-0-0-0,184.0.0.0,184.255.255.255,ARIN,Apr-03,IANA - Reserved
NET185,NET-185-0-0-0-0,185.0.0.0,185.255.255.255,ARIN,Apr-03,IANA - Reserved
NET186,NET-186-0-0-0-0,186.0.0.0,186.255.255.255,ARIN,Apr-03,IANA - Reserved
NET187,NET-187-0-0-0-0,187.0.0.0,187.255.255.255,ARIN,Apr-03,IANA - Reserved
188-RIPE,NET-188-0-0-0-1,188.0.0.0,188.255.255.255,ARIN,May-93,Various Registries,
NET189,NET-189-0-0-0-1,189.0.0.0,189.255.255.255,LACNIC,Jun-05,LACNIC,(whois.lacnic.net)
NET190,NET-190-0-0-0-1,190.0.0.0,190.255.255.255,LACNIC,Jun-05,LACNIC,(whois.lacnic.net)
NET191,NET-191-0-0-0-0,191.0.0.0,191.255.255.255,ARIN,May-93,Various Registries,
NET192,NET-192-0-0-0-0,192.0.0.0,192.255.255.255,ARIN,May-93,Various Registries,
RIPE-CBLK,NET-193-0-0-0-1,193.0.0.0,193.255.255.255,RIPE,May-93,RIPE NCC,(whois.ripe.net)
